Long,Lat,mother_tree_num,metal_id,lat,long_,qubr_id,notes,num_branches
-110.1590278,23.975561101975977,,404,,,,"5.8, Y, N, NA, very few really shitty acorns but there were still acorns",
-110.1589162,23.975274951705494,,418,,,,"5.7, N, Y, NA, green and brown acorns! But not too many",
-110.1610925,23.97633254637905,,497,,,LC_174,"7.7, N, Y, NA, new BT: 2334 because old fell off -> used photos to confirm this was 497",
-110.1607119,23.975816301482965,,200,,,,"10.1, N, N, NA",
-110.1588256,23.975146142835914,,423,,,,"13.2, N, N, NA",
-110.1610717,23.976281580266566,,498,,,LC_173,"9.4, N, Y, NA",
-110.1589681,23.97520380146082,,419,,,,"12.4, Y, N, NA, acorns green and few",
-110.161659,23.97574488313356,,475,,,,"5.1 , N, N, NA",
-110.1601935,23.975495732019642,,192,,,,"8.2, N, N, NA",
-110.1590087,23.97502708425207,,414,,,,"5.3, Y, N, NA, brown acorns ",
-110.1590749,23.97556427521818,,407,,,,"5.7, N, N, NA",
-110.1588091,23.975319354205485,,416,,,,Branch 3,4
-110.1601702,23.97547917714128,,194,,,,"13.7, N, N, NA",
-110.1587511,23.975100770078125,,2337,,,LC_304,"3.2, N, Y, 31.5",
-110.1591049,23.975629151834582,,405,,,,"7.5, Y, N, NA, very few really shitty acorns but there were still acorns",
-110.1588951,23.97533848398237,,416,,,,Branch 1,4
-110.1596761,23.97531168292284,,2336,,,LC_302,"8.7, N, Y, 54.5",
-110.161411,23.97595268489326,,474,,,,Branch 4,4
-110.1592626,23.975366942249444,,402,,,,"7.4, N, N, NA",
-110.1588371,23.975291836575447,,416,,,,Branch 2,
-110.1609689,23.976471619831226,,125,,,LC_168,"14, N, Y, NA",
-110.1613394,23.975956735566474,,474,,,,"9.2, N, N, NA",
-110.1601824,23.975887580255833,,196,,,,"7.4, N, N, NA",
-110.160451,23.975632599224735,,191,,,,"6.9, N, N, NA",
-110.1616986,23.975811888009044,,469,,,,"8.3, N, N, NA",
-110.1589972,23.974997622878668,,417,,,,"13.5, Y, N, NA, green and brown acorns",
-110.1588548,23.975279655764314,,115,,,,Branch 3,4
-110.1611766,23.976452107728885,,483,,,LC_179,"6.6, N, Y, NA",
-110.1587972,23.975184784935742,,412,,,,"5.4, Y, N, NA, new mom",
-110.160124,23.975920008637047,,130,,,,"10.9, N, N, NA",
-110.1587466,23.975170268088934,,408,,,,"7.4, Y, N, NA, new mom",
-110.1588448,23.97523592303134,,115,,,,Branch 4,4
-110.1590157,23.975064776709527,,413,,,,"8.1, Y, N, NA, brown acorns and very few",
-110.1610835,23.976437833161505,,486,,,LC_176,"8.2, N, N, NA, couldnâ€™t resample leaves because tree was too tall",
-110.1612749,23.975927876055938,,474,,,,Branch 3,4
-110.1617344,23.975541330360475,,127,,,LC_202,"5, N, Y, NA",
-110.1611582,23.976425511280762,,490,,,LC_178,"3.9, N, Y, NA",
-110.1616325,23.975762564944876,,467,,,LC_195,"14, N, Y, NA",
-110.1601152,23.975548141422994,,118,,,,Branch 1,4
-110.1616963,23.976409629579674,,485,,,,"5.5, N, N, NA",
-110.1593936,23.975394346591813,,109,,,,"8.9, N, N, NA",
-110.1607621,23.975852247034858,,199,,,,"11.3, N, N, NA",
-110.1601201,23.97550356088647,,118,,,,Branch 4,4
-110.1607057,23.976126370424033,,268,,,,"5.5, N, N, NA",
-110.1609404,23.976406878250618,,499,,,LC_170,"14.4, N, Y, NA",
-110.1588061,23.97527220691867,,115,,,,Branch 1,4
-110.1588851,23.97520084,,2338,,,LC_303,"5, Y, Y, 22.8",
-110.1612993,23.97610716114612,,494,,,,"11.3, N, N, NA",
-110.1615928,23.975603238949095,,122,,,,"4.9, N, N, NA",
-110.1611086,23.97642308170648,,488,,,LC_175,"4.2, N, Y, NA",
-110.1612788,23.976424867771883,,492,,,LC_181,"2.9, N, Y, NA",
-110.1606675,23.976103014443556,,195,,,,"8, N, N, NA",
-110.1609519,23.97600263005468,,126,,,,"6.2, N, N, NA",
-110.1608752,23.97586534381101,,134,,,,"12.1, N, N, NA",
-110.1609498,23.976572103171613,,128,,,LC_167,"12.2, N, Y, NA",
-110.1616403,23.975823637846723,,479,,,,"5, N, N, NA",
-110.1609728,23.97640675184708,,132,,,LC_171,"9.9, N, Y, NA, some cryptosregia sap may be on leaves",
-110.1609442,23.975903919209873,,133,,,,"9.1, N, N, NA",
-110.1616799,23.975774683329085,,448,,,,"9.4, N, N, NA",
-110.1606837,23.976150058825848,,123,,,,"4.8, N, N, NA",
-110.1601043,23.97596154712588,,186,,,,"7.1, N, N, NA",
-110.1601377,23.97547379838543,,189,,,,"11.9, N, N, NA",
-110.1613929,23.97642024665591,,484,,,LC_186,"4.3, N, Y, NA",
-110.1616748,23.975801939839656,,476,,,,"14, N, N, NA",
-110.1601714,23.975507273400954,,118,,,,"7.3, N, N, NA",
-110.1612848,23.97596538274792,,474,,,,Branch 1,4
-110.1616129,23.975828707144174,,478,,,,"8.2, N, N, NA",
-110.1588023,23.975298327535523,,115,,,,Branch 2,4
-110.1541607,23.97544168261988,15,2339,,,LC_305,"7.5, Y, Y, 35, Green and brown acorns. > 100 in tree",1
-110.1589952,23.975605119418695,,403,,,,"7.5, N, N, NA",
-110.1588484,23.975387720203173,,416,,,,Branch 4,4
-110.1613585,23.97591005719278,,474,,,,Branch 2,4
-110.1588593,23.975246309556763,,115,,,,"9.3, Y, N, NA, green and brown acorns",
-110.1601331,23.975527672939656,,118,,,,Branch 3,4
-110.1610632,23.976358383604026,,500,,,LC_172,"9.5, N, Y, NA",
-110.1618108,23.976524337458905,,489,,,,"5.9, N, N, NA, ",
-110.1617091,23.976373184314575,,491,,,,"5.9, N, N, NA",
-110.1611979,23.976490442457187,,496,,,LC_180,"11.9, N, N, NA, leaves were too high to collect",
-110.1588473,23.975334853543952,,416,,,,"5.7, N, Y, NA, new mom! Green and brown acorns",
-110.1596723,23.975298725628008,,2335,,,LC_301,"12.3, N, Y, 58, DBH2: 42",
-110.1617498,23.975506288431376,,101,,,LC_203,"10.2, N, Y, NA ",
-110.1609154,23.976365563984455,,131,,,LC_169,"12.1, N, Y, NA",
-110.1612173,23.976539514898256,,493,,,LC_184,"8.8, N, Y, NA",
-110.160108,23.975920707963187,,197,,,,"10.6, N, N, NA",
-110.1587244,23.97510566457137,,422,,,,"4.6, N, N, NA",
-110.1609536,23.97597020743989,,129,,,,"6.5, N, N, NA",
-110.1616498,23.97623125436054,,487,,,,"8, N, N, NA",
-110.1612869,23.97647099930506,,495,,,LC_182,"13.3, N, Y, NA",
-110.1591039,23.975573263061094,,103,,,,"8.7, N, N, NA",
-110.1587332,23.975141949316217,,420,,,LC_098,"8.7, Y, Y, NA, 10 acorns but technically still fruiting",
-110.1616434,23.97580137020025,,468,,,,"11.4, N, N, NA",
-110.1616094,23.975802218092923,,480,,,LC_191,"4.6, N, Y, NA",
-110.1612319,23.976509681226783,,482,,,LC_183,"7.2, N, Y, NA",
-110.1609566,23.9758952,,121,,,,"9.6, N, N, NA",
-110.1610974,23.976474889084837,,481,,,LC_177,"15.2, N, Y, NA",
-110.1601671,23.975512842582862,,118,,,,Branch 2,